system:index,blue,blue_1,blue_2,current_slice,found_slice,green,green_1,green_2,id,nir,nir_1,nir_2,red,red_1,red_2,swir1,swir1_1,swir1_2,swir2,swir2_1,swir2_2,.geo
9014_0,0.39227766,0.43259588,4179,6,-1,0.33693016,0.37030068,3930,2_00003f68b6bab67d3890,0.52772313,0.48176107,6408,0.38204604,0.40193993,4537,0.18285376,0.17612708,1497,0.16560799,0.17011157,1220,
9019_0,0.1319593,0.28683025,1354,6,-1,0.07959193,0.23723345,912,2_0000f7561a5ba65a9051,0.13493286,0.3290014,2055,0.0592558,0.24094628,711,0.029831199,0.06738515,383,0.01848289,0.0636169,217,
9021_0,0.15201664,0.1384167,1714,6,9,0.098698005,0.08760205,1231,1_00009b6650756c75e3b4,0.16505635,0.18820158,2116,0.08012998,0.07199196,1097,0.04428917,0.049221944,565,0.030787468,0.035002265,390,
9022_0,0.12909757,0.22769864,1206,6,7,0.07664552,0.17353795,778,1_00007b8485919da4da28,0.14050588,0.25666943,1856,0.05579584,0.16603951,579,0.030553298,0.05498632,403,0.020128457,0.043764077,227,
9023_0,0.5618182,0.3640533,3461,6,-1,0.50649774,0.33988172,3090,2_000006981d354c05c404,0.6043518,0.4663544,4097,0.54148763,0.38288924,3305,0.19950671,0.12308478,981,0.20153977,0.103427656,860,
9024_0,0.28573537,0.39580873,1876,6,9,0.22272089,0.33866143,1434,1_0000a125a5340dae74aa,0.32541323,0.43462032,2774,0.2306622,0.36191368,1367,0.11892738,0.16964884,342,0.1113385,0.16733518,302,
9025_0,0.13211356,0.25890088,1225,6,7,0.07736674,0.20348546,783,1_00007b8485919da4da28,0.14712796,0.29226097,1920,0.056385927,0.20287588,572,0.027406177,0.05369754,344,0.01744029,0.04981846,193,
9026_0,0.22509256,0.4323572,2067,6,-1,0.16095842,0.3562713,1526,2_0000d854b6a16e6199aa,0.2224265,0.45264018,2237,0.15441161,0.38260534,1423,0.059059404,0.14320037,311,0.054407097,0.15154552,249,
9028_0,0.14870927,0.13694301,1519,6,9,0.094484374,0.08672875,1063,1_00009b6650756c75e3b4,0.18046631,0.18730079,2080,0.07648931,0.06942546,909,0.04577919,0.044975344,569,0.030822095,0.030691324,380,
9030_0,0.16930541,0.2653035,1249,6,10,0.112680286,0.20980877,800,1_000097b5934c8b4840ce,0.14131711,0.26514703,1103,0.098994315,0.21104085,634,0.080188826,0.12975574,644,0.06431544,0.11462942,473,
9031_0,0.15093186,0.1459096,1692,6,9,0.099812016,0.09834429,1250,1_00009b6650756c75e3b4,0.19340046,0.20696317,2201,0.08405848,0.087083355,1149,0.06297731,0.060066044,736,0.044118736,0.04243822,539,
9034_0,0.23568988,0.24120826,1391,6,8,0.17611447,0.1881958,978,1_000023f3dbcc6591a1da,0.21498102,0.25064522,1730,0.17208253,0.18680611,833,0.11424557,0.11509696,364,0.09868489,0.099437594,260,
9036_0,0.4265108,0.165282,1505,6,-1,0.35802755,0.10932881,976,2_00004e19b79213d70029,0.43254915,0.14153951,1233,0.37783617,0.095450014,807,0.18380024,0.042582914,431,0.18350568,0.034917183,329,
9040_0,0.36475468,0.49458277,5574,6,-1,0.2904399,0.42271116,5103,2_00008ae4314e2f657c3a,0.375469,0.53544176,6592,0.30996394,0.4590737,5678,0.11844007,0.17640291,1015,0.10794073,0.17586982,950,
9043_0,0.32984585,0.39466238,1202,6,0,0.26416987,0.33662474,779,1_0000d94028b2945e0b70,0.3878517,0.46375725,1473,0.2795162,0.36104262,624,0.06815534,0.11764658,602,0.058544703,0.114476316,425,
9044_0,0.18708965,0.35040134,1976,6,-1,0.12768371,0.28867084,1566,2_0000481acaedf36129cf,0.2049753,0.35601196,2787,0.110791706,0.30285332,1535,0.053585988,0.20314306,729,0.03853932,0.17953071,580,
9047_0,0.56247556,0.6589663,7200,6,-1,0.48262885,0.59308743,6484,2_000010e72a3565d5a858,0.62408173,0.7258505,7763,0.5362858,0.6564234,7151,0.070548974,0.0989366,973,0.0713297,0.1044955,992,
9048_0,0.25542444,0.2744872,1683,6,-1,0.18745467,0.219,1212,2_000068cd0ad923310129,0.19704835,0.28182635,2092,0.17379095,0.21324885,1048,0.06808604,0.10989149,496,0.045758933,0.10115056,353,
